2021-12-15 19:36:30,386:INFO: model = topk_10_mf_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 1; train_loss = 0.421590; test: logloss_one = 0.142808; recall_one = 0.796184; hr_one = 0.796184; ndcg_one = 0.480688
2021-12-15 19:36:31,110:INFO: model = topk_10_mfbe_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 1; train_loss = 3.276272; test: logloss_one = 0.692891; recall_one = 0.123834; hr_one = 0.123834; ndcg_one = 0.056880
2021-12-15 19:36:32,451:INFO: model = topk_10_mf_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 1; train_loss = 0.219969; test: logloss_one = 3.601577; recall_one = 0.270227; hr_one = 0.270227; ndcg_one = 0.137973
2021-12-15 19:36:35,110:INFO: model = topk_10_mfg_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 1; train_loss = 3.692699; test: logloss_one = 1.227570; recall_one = 0.299781; hr_one = 0.299781; ndcg_one = 0.158922
2021-12-15 19:36:35,239:INFO: model = topk_10_mfbesvd_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 1; train_loss = 3.005776; test: logloss_one = 3.608519; recall_one = 0.703209; hr_one = 0.703209; ndcg_one = 0.460386
2021-12-15 19:36:36,182:INFO: model = topk_10_mfbesvd_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 1; train_loss = 11.053117; test: logloss_one = 3.730739; recall_one = 0.684654; hr_one = 0.684654; ndcg_one = 0.447488
2021-12-15 19:36:38,039:INFO: model = topk_10_mfbe_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 1; train_loss = 1.512498; test: logloss_one = 2.900887; recall_one = 0.266295; hr_one = 0.266295; ndcg_one = 0.136029
2021-12-15 19:36:39,129:INFO: model = topk_10_mfbesvd_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 1; train_loss = 0.713017; test: logloss_one = 5.789390; recall_one = 0.369326; hr_one = 0.369326; ndcg_one = 0.201226
2021-12-15 19:36:41,918:INFO: model = topk_10_mfmbe_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 1; train_loss = 8.193764; test: logloss_one = 0.692804; recall_one = 0.170511; hr_one = 0.170511; ndcg_one = 0.085066
2021-12-15 19:36:51,494:INFO: model = topk_10_mfbe_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 1; train_loss = 11.219800; test: logloss_one = 0.693042; recall_one = 0.134887; hr_one = 0.134887; ndcg_one = 0.064788
2021-12-15 19:37:34,409:INFO: model = topk_10_mfsvd_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 1; train_loss = 0.343287; test: logloss_one = 0.576286; recall_one = 0.849892; hr_one = 0.849892; ndcg_one = 0.548777
2021-12-15 19:37:50,615:INFO: model = topk_10_mfg_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 1; train_loss = 0.573814; test: logloss_one = 0.989833; recall_one = 0.296157; hr_one = 0.296157; ndcg_one = 0.155962
2021-12-15 19:37:50,721:INFO: model = topk_10_mf_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 1; train_loss = 3.085924; test: logloss_one = 0.129453; recall_one = 0.799844; hr_one = 0.799844; ndcg_one = 0.485693
2021-12-15 19:37:54,934:INFO: model = topk_10_mfmbe_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 2; train_loss = 1.121274; test: logloss_one = 0.483471; recall_one = 0.744269; hr_one = 0.744269; ndcg_one = 0.440554
2021-12-15 19:38:00,006:INFO: model = topk_10_mfmbe_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 2; train_loss = 0.130044; test: logloss_one = 4.270846; recall_one = 0.269212; hr_one = 0.269212; ndcg_one = 0.136767
2021-12-15 19:38:02,024:INFO: model = topk_10_mf_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 2; train_loss = 0.130080; test: logloss_one = 0.059431; recall_one = 0.840832; hr_one = 0.840832; ndcg_one = 0.515322
2021-12-15 19:38:08,329:INFO: model = topk_10_mf_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 2; train_loss = 0.090041; test: logloss_one = 3.667144; recall_one = 0.270480; hr_one = 0.270480; ndcg_one = 0.137799
2021-12-15 19:38:09,592:INFO: model = topk_10_mfbesvd_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 2; train_loss = 0.986904; test: logloss_one = 2.852314; recall_one = 0.787541; hr_one = 0.787541; ndcg_one = 0.502655
2021-12-15 19:38:09,926:INFO: model = topk_10_mfbesvd_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 2; train_loss = 3.683804; test: logloss_one = 3.377620; recall_one = 0.785710; hr_one = 0.785710; ndcg_one = 0.500778
2021-12-15 19:38:10,037:INFO: model = topk_10_mfbe_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 2; train_loss = 1.436941; test: logloss_one = 0.627831; recall_one = 0.711653; hr_one = 0.711653; ndcg_one = 0.419366
2021-12-15 19:38:11,064:INFO: model = topk_10_mfg_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 2; train_loss = 3.145181; test: logloss_one = 0.990950; recall_one = 0.636454; hr_one = 0.636454; ndcg_one = 0.378053
2021-12-15 19:38:12,390:INFO: model = topk_10_mfbe_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 2; train_loss = 0.164126; test: logloss_one = 4.099216; recall_one = 0.268686; hr_one = 0.268686; ndcg_one = 0.136877
2021-12-15 19:38:15,164:INFO: model = topk_10_mfbesvd_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 2; train_loss = 0.172142; test: logloss_one = 5.597231; recall_one = 0.331419; hr_one = 0.331419; ndcg_one = 0.177143
2021-12-15 19:38:18,644:INFO: model = topk_10_mfmbe_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 2; train_loss = 4.090493; test: logloss_one = 0.446592; recall_one = 0.732256; hr_one = 0.732256; ndcg_one = 0.427049
2021-12-15 19:38:35,819:INFO: model = topk_10_mfbe_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 2; train_loss = 4.294314; test: logloss_one = 0.641975; recall_one = 0.696903; hr_one = 0.696903; ndcg_one = 0.401814
2021-12-15 19:39:11,322:INFO: model = topk_10_mfsvd_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 2; train_loss = 0.130502; test: logloss_one = 0.287129; recall_one = 0.872850; hr_one = 0.872850; ndcg_one = 0.563007
2021-12-15 19:39:25,280:INFO: model = topk_10_mf_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 2; train_loss = 1.842869; test: logloss_one = 0.056830; recall_one = 0.850110; hr_one = 0.850110; ndcg_one = 0.527711
2021-12-15 19:39:27,803:INFO: model = topk_10_mfmbe_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 3; train_loss = 0.356998; test: logloss_one = 0.102167; recall_one = 0.799971; hr_one = 0.799971; ndcg_one = 0.480575
2021-12-15 19:39:28,016:INFO: model = topk_10_mfg_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 2; train_loss = 0.394184; test: logloss_one = 0.580710; recall_one = 0.686919; hr_one = 0.686919; ndcg_one = 0.399992
2021-12-15 19:39:33,099:INFO: model = topk_10_mf_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 3; train_loss = 0.096015; test: logloss_one = 0.041731; recall_one = 0.857684; hr_one = 0.857684; ndcg_one = 0.531403
2021-12-15 19:39:34,052:INFO: model = topk_10_mfmbe_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 3; train_loss = 0.107055; test: logloss_one = 4.067108; recall_one = 0.269049; hr_one = 0.269049; ndcg_one = 0.137608
2021-12-15 19:39:43,913:INFO: model = topk_10_mf_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 3; train_loss = 0.089699; test: logloss_one = 3.670101; recall_one = 0.269864; hr_one = 0.269864; ndcg_one = 0.138034
2021-12-15 19:39:44,380:INFO: model = topk_10_mfbesvd_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 3; train_loss = 0.320957; test: logloss_one = 2.314621; recall_one = 0.841031; hr_one = 0.841031; ndcg_one = 0.533073
2021-12-15 19:39:44,834:INFO: model = topk_10_mfbesvd_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 3; train_loss = 2.654559; test: logloss_one = 2.489879; recall_one = 0.845163; hr_one = 0.845163; ndcg_one = 0.535939
