2021-12-16 09:32:25,864:INFO: model = topk_10_mf_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 1; train_loss = 0.421590; test: logloss_one = 0.142808; recall_one = 0.796184; hr_one = 0.796184; ndcg_one = 0.480688
2021-12-16 09:32:26,024:INFO: model = topk_10_mfg_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 1; train_loss = 0.214968; test: logloss_one = 3.732527; recall_one = 0.247015; hr_one = 0.247015; ndcg_one = 0.122839
2021-12-16 09:32:26,129:INFO: model = topk_10_nmf_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 1; train_loss = 0.091912; test: logloss_one = 2.390893; recall_one = 0.752840; hr_one = 0.752840; ndcg_one = 0.447106
2021-12-16 09:32:30,273:INFO: model = topk_10_mfmbe_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 1; train_loss = 1.049657; test: logloss_one = 3.816425; recall_one = 0.267690; hr_one = 0.267690; ndcg_one = 0.136800
2021-12-16 09:32:30,305:INFO: model = topk_10_mfbesvd_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 1; train_loss = 11.053117; test: logloss_one = 3.730739; recall_one = 0.684654; hr_one = 0.684654; ndcg_one = 0.447488
2021-12-16 09:32:33,085:INFO: model = topk_10_mf_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 1; train_loss = 0.219969; test: logloss_one = 3.601577; recall_one = 0.270227; hr_one = 0.270227; ndcg_one = 0.137973
2021-12-16 09:32:33,365:INFO: model = topk_10_mfmbe_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 1; train_loss = 2.322594; test: logloss_one = 0.692578; recall_one = 0.149220; hr_one = 0.149220; ndcg_one = 0.072294
2021-12-16 09:32:33,914:INFO: model = topk_10_mfmbe_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 1; train_loss = 8.193764; test: logloss_one = 0.692804; recall_one = 0.170511; hr_one = 0.170511; ndcg_one = 0.085066
2021-12-16 09:32:38,152:INFO: model = topk_10_mfbe_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 1; train_loss = 11.219800; test: logloss_one = 0.693042; recall_one = 0.134887; hr_one = 0.134887; ndcg_one = 0.064788
2021-12-16 09:32:41,864:INFO: model = topk_10_mfbe_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 1; train_loss = 1.512498; test: logloss_one = 2.900887; recall_one = 0.266295; hr_one = 0.266295; ndcg_one = 0.136029
